record_id,publication_year,observation_period,table_id,topic,table_title,header_index,excel_column_number,measure,population,unit,denominator,header_notes,table_notes,breakdowns,row_count,candidate_dimensions,review_status,source_workbook,source_sheet,derived_file
2006-07:1-1:0,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",0,2,Wholly Australian owned,Innovation-active businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:1,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",1,3,Greater than 0% and less than 10%,Innovation-active businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:2,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",2,4,10% to 50%,Innovation-active businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:3,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",3,5,Greater than 50%,Innovation-active businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:4,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",4,6,Wholly Australian owned,All businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:5,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",5,7,Greater than 0% and less than 10%,All businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:6,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",6,8,10% to 50%,All businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-1:7,2006-07,2006–07,1-1,1,"Table 1 Percentage of foreign ownership, by innovator status, by employment size, by industry–2006–07",7,9,Greater than 50%,All businesses,%,Businesses in the selected category and population.,,"A4: Proportions are of all businesses in each output category. The sum of component items within each output category may not equal 100.0% due to rounding and/or provision of multiple responses, refer to Explanatory Notes 17–19. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_1,data/dashboard-2006-07.json
2006-07:1-2:0,2006-07,2006–07,1-2,1,"Table 2 Franchising agreements, by employment size, by industry–2006–07",0,2,Franchisee (i.e. operated a franchise),All businesses,%,Businesses in the selected category and population.,,A4: Proportions are of all businesses in each output category. Businesses could identify as both a franchisee and franchisor.,Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:1-2:1,2006-07,2006–07,1-2,1,"Table 2 Franchising agreements, by employment size, by industry–2006–07",1,3,Franchisor (i.e. controlled a franchise system),All businesses,%,Businesses in the selected category and population.,,A4: Proportions are of all businesses in each output category. Businesses could identify as both a franchisee and franchisor.,Employment size | Industry | Overall,21,,UNREVIEWED,data_2006-07/extracted/81670do001_200607/81670DO001_200607.xls,Table_2,data/dashboard-2006-07.json
