series,industry,waves,below,gap_2021_22,gap_2024_25,unflagged_waves,interpretation
social,Accommodation and Food Services,2,0,20.3,17.1,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Administrative and Support Services,2,1,1.8,-2.7,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,"Agriculture, Forestry and Fishing",2,2,-24.6,-27.8,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Arts and Recreation Services,2,0,31.3,31.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Construction,2,2,-13.5,-10.0,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,"Electricity, Gas, Water and Waste Services",2,1,-5.7,0.2,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Financial and Insurance Services,2,1,-3.0,3.3,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Health Care and Social Assistance,2,2,-8.4,-3.1,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Information Media and Telecommunications,2,0,17.6,16.5,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Manufacturing,2,0,4.6,7.1,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Mining,2,2,-8.2,-9.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Other Services,2,0,9.3,12.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,"Professional, Scientific and Technical Services",2,1,0.3,-2.9,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,"Rental, Hiring and Real Estate Services",2,1,1.9,-3.0,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Retail Trade,2,0,25.1,15.1,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,"Transport, Postal and Warehousing",2,2,-23.4,-18.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
social,Wholesale Trade,2,0,1.0,5.8,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Accommodation and Food Services,2,0,31.5,38.5,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Administrative and Support Services,2,2,-9.0,-2.4,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,"Agriculture, Forestry and Fishing",2,2,-15.0,-14.5,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Arts and Recreation Services,2,0,8.1,27.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Construction,2,2,-10.3,-16.3,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,"Electricity, Gas, Water and Waste Services",2,1,3.0,-2.9,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Financial and Insurance Services,2,2,-12.5,-16.3,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Health Care and Social Assistance,2,0,0.3,0.9,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Information Media and Telecommunications,2,0,5.2,5.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Manufacturing,2,0,6.9,2.3,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Mining,2,2,-15.2,-19.0,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Other Services,2,1,-1.8,5.6,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,"Professional, Scientific and Technical Services",2,2,-7.6,-11.0,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,"Rental, Hiring and Real Estate Services",2,2,-9.5,-3.5,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Retail Trade,2,0,22.1,20.9,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,"Transport, Postal and Warehousing",2,2,-14.8,-9.8,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
received,Wholesale Trade,2,0,22.1,17.2,2,"Repeated below-national position in two recent waves, not long-run persistence or statistical significance."
