series,year,group,category,active,nonactive,gap,status,active_status,nonactive_status,workbook,sheet,active_cell,nonactive_cell,interpretation
internet,2018-19,Overall,Total,99.0,95.4,3.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G9,L9,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Overall,Total,69.2,42.9,26.3,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H9,M9,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Overall,Total,61.9,36.7,25.2,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I9,N9,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Overall,Total,75.5,53.2,22.3,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J9,O9,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Overall,Total,51.2,33.7,17.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K9,P9,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Employment size,0–4 persons,98.8,94.7,4.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G11,L11,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Employment size,0–4 persons,60.4,34.6,25.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H11,M11,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Employment size,0–4 persons,54.5,29.0,25.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I11,N11,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Employment size,0–4 persons,71.2,47.1,24.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J11,O11,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Employment size,0–4 persons,46.1,29.1,17.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K11,P11,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Employment size,5–19 persons,98.9,96.2,2.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G12,L12,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Employment size,5–19 persons,74.6,56.9,17.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H12,M12,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Employment size,5–19 persons,67.0,49.6,17.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I12,N12,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Employment size,5–19 persons,78.5,65.5,13.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J12,O12,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Employment size,5–19 persons,56.6,43.4,13.2,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K12,P12,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Employment size,20–199 persons,100.0,99.6,0.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G14,L14,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
