series,dimension,year,period,group,category,population,value,status,note,unit,decision,segment,denominator,record_id,workbook,sheet,cell,raw_value
internet,Basic connectivity,2006-07,2006–07,Employment size,0–4 persons,All businesses,83.4,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J10,83.4
internet,Basic connectivity,2006-07,2006–07,Employment size,5–19 persons,All businesses,89.6,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J11,89.6
internet,Basic connectivity,2006-07,2006–07,Employment size,20–199 persons,All businesses,98.4,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J12,98.4
internet,Basic connectivity,2006-07,2006–07,Employment size,200 or more persons,All businesses,99.9,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J13,99.9
internet,Basic connectivity,2006-07,2006–07,Industry,Mining,All businesses,91.0,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J15,91.0
internet,Basic connectivity,2006-07,2006–07,Industry,Manufacturing,All businesses,86.8,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J16,86.8
internet,Basic connectivity,2006-07,2006–07,Industry,"Electricity, Gas, Water and Waste Services",All businesses,84.9,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J17,84.9
internet,Basic connectivity,2006-07,2006–07,Industry,Construction,All businesses,85.8,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J18,85.8
internet,Basic connectivity,2006-07,2006–07,Industry,Wholesale Trade,All businesses,94.0,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J19,94.0
internet,Basic connectivity,2006-07,2006–07,Industry,Retail Trade,All businesses,81.1,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J20,81.1
internet,Basic connectivity,2006-07,2006–07,Industry,Accommodation and Food Services,All businesses,68.4,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J21,68.4
internet,Basic connectivity,2006-07,2006–07,Industry,"Transport, Postal and Warehousing",All businesses,80.5,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J22,80.5
internet,Basic connectivity,2006-07,2006–07,Industry,Information Media and Telecommunications,All businesses,97.8,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J23,97.8
internet,Basic connectivity,2006-07,2006–07,Industry,Financial and Insurance Services,All businesses,95.3,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J24,95.3
internet,Basic connectivity,2006-07,2006–07,Industry,"Rental, Hiring and Real Estate Services",All businesses,85.0,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J25,85.0
internet,Basic connectivity,2006-07,2006–07,Industry,"Professional, Scientific and Technical Services",All businesses,98.4,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J26,98.4
internet,Basic connectivity,2006-07,2006–07,Industry,Administrative and Support Services,All businesses,91.6,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J27,91.6
internet,Basic connectivity,2006-07,2006–07,Industry,Health Care and Social Assistance,All businesses,88.4,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J28,88.4
internet,Basic connectivity,2006-07,2006–07,Industry,Arts and Recreation Services,All businesses,85.5,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J29,85.5
internet,Basic connectivity,2006-07,2006–07,Industry,Other Services,All businesses,76.7,published,,%,D,2006-07,Businesses in the selected category and population.,2006-07:4-1:8,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_1,J30,76.7
