series,year,small,large,gap,status,decision,small_cell,large_cell,record_id
internet,2006-07,83.4,99.9,16.5,published,D,J10,J13,2006-07:4-1:8
web,2006-07,24.5,95.0,70.5,published,D,K10,K13,2006-07:4-1:9
placed,2006-07,34.1,69.2,35.1,published,D,L10,L13,2006-07:4-1:10
received,2006-07,19.7,25.9,6.2,published,D,M10,M13,2006-07:4-1:11
internet,2008-09,87.7,99.0,11.3,published,D,J10,J13,2008-09:4-1:8
web,2008-09,31.2,95.1,63.9,published,D,K10,K13,2008-09:4-1:9
placed,2008-09,40.6,75.1,34.5,published,D,L10,L13,2008-09:4-1:10
received,2008-09,23.5,35.9,12.4,published,D,M10,M13,2008-09:4-1:11
internet,2009-10,87.3,99.2,11.9,published,D,J10,J13,2009-10:7-1:8
web,2009-10,29.2,94.0,64.8,published,D,K10,K13,2009-10:7-1:9
placed,2009-10,39.8,72.6,32.8,published,D,L10,L13,2009-10:7-1:10
received,2009-10,21.0,33.8,12.8,published,D,M10,M13,2009-10:7-1:11
internet,2010-11,89.1,100.0,10.9,published,D,J10,J13,2010-11:4-1:8
web,2010-11,33.2,97.3,64.1,published,D,K10,K13,2010-11:4-1:9
placed,2010-11,43.8,81.1,37.3,published,D,L10,L13,2010-11:4-1:10
received,2010-11,24.4,38.2,13.8,published,D,M10,M13,2010-11:4-1:11
internet,2011-12,90.2,99.9,9.7,published,D,L10,L13,2011-12:4-1:10
web,2011-12,34.1,97.0,62.9,published,D,M10,M13,2011-12:4-1:11
social,2011-12,12.6,51.8,39.2,published,D,N10,N13,2011-12:4-1:12
placed,2011-12,47.8,81.3,33.5,published,D,O10,O13,2011-12:4-1:13
received,2011-12,23.4,40.0,16.6,published,D,P10,P13,2011-12:4-1:14
internet,2012-13,91.0,99.8,8.8,published,D,L10,L13,2012-13:7-1:10
web,2012-13,35.9,97.6,61.7,published,D,M10,M13,2012-13:7-1:11
social,2012-13,19.0,63.7,44.7,published,D,N10,N13,2012-13:7-1:12
placed,2012-13,45.8,82.4,36.6,published,D,O10,O13,2012-13:7-1:13
received,2012-13,25.4,43.9,18.5,published,D,P10,P13,2012-13:7-1:14
internet,2013-14,93.3,99.9,6.6,published,D,L10,L13,2013-14:4-1:10
web,2013-14,37.0,97.2,60.2,published,D,M10,M13,2013-14:4-1:11
social,2013-14,22.1,65.9,43.8,published,D,N10,N13,2013-14:4-1:12
placed,2013-14,50.1,87.5,37.4,published,D,O10,O13,2013-14:4-1:13
received,2013-14,27.5,48.2,20.7,published,D,P10,P13,2013-14:4-1:14
internet,2014-15,93.9,99.9,6.0,published,D,L10,L13,2014-15:7-1:10
web,2014-15,38.9,91.2,52.3,published,D,M10,M13,2014-15:7-1:11
social,2014-15,25.0,71.0,46.0,published,D,N10,N13,2014-15:7-1:12
placed,2014-15,50.8,81.6,30.8,published,D,O10,O13,2014-15:7-1:13
received,2014-15,29.9,49.6,19.7,published,D,P10,P13,2014-15:7-1:14
internet,2015-16,94.3,99.9,5.6,published,D,B12,B15,2015-16:4-1:0
web,2015-16,41.0,93.6,52.6,published,D,C12,C15,2015-16:4-1:1
social,2015-16,30.3,80.6,50.3,published,D,D12,D15,2015-16:4-1:2
placed,2015-16,51.7,84.3,32.6,published,D,E12,E15,2015-16:4-1:3
received,2015-16,32.9,51.8,18.9,published,D,F12,F15,2015-16:4-1:4
internet,2016-17,94.2,99.1,4.9,published,D,B11,B14,2016-17:4-1:0
web,2016-17,40.2,93.9,53.7,published,D,C11,C14,2016-17:4-1:1
social,2016-17,30.9,80.0,49.1,published,D,D11,D14,2016-17:4-1:2
placed,2016-17,53.4,84.4,31.0,published,D,E11,E14,2016-17:4-1:3
received,2016-17,32.4,54.9,22.5,published,D,F11,F14,2016-17:4-1:4
internet,2017-18,96.3,97.8,1.5,published,D,C11,C14,2017-18:1-1:1
web,2017-18,44.1,95.8,51.7,published,D,D11,D14,2017-18:1-1:2
social,2017-18,35.4,85.7,50.3,published,D,E11,E14,2017-18:1-1:3
placed,2017-18,55.5,86.1,30.6,published,D,F11,F14,2017-18:1-1:4
received,2017-18,36.5,64.5,28.0,published,D,G11,G14,2017-18:1-1:5
