year,variable,label,group,category,value,unit,status,note,denominator,record_id,workbook,sheet,cell,source_number_format,source_value,temporal_gate
2024-25,ai,Artificial intelligence,Overall,Total,12.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L7,0.0,12.1,C
2024-25,ai,Artificial intelligence,Employment size,0–4 persons,10.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L9,0.0,10.7,C
2024-25,ai,Artificial intelligence,Employment size,5–19 persons,12.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L10,0.0,12.3,C
2024-25,ai,Artificial intelligence,Employment size,20–199 persons,22.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L11,0.0,22.3,C
2024-25,ai,Artificial intelligence,Employment size,200 or more persons,34.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L12,0.0,34.7,C
2024-25,ai,Artificial intelligence,Industry,"Agriculture, Forestry and Fishing",2.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L14,0.0,2.8,C
2024-25,ai,Artificial intelligence,Industry,Mining,17.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L15,0.0,17.8,C
2024-25,ai,Artificial intelligence,Industry,Manufacturing,9.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L16,0.0,9.3,C
2024-25,ai,Artificial intelligence,Industry,"Electricity, Gas, Water and Waste Services",15.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L17,0.0,15.4,C
2024-25,ai,Artificial intelligence,Industry,Construction,6.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L18,0.0,6.4,C
